DATE,UnemplMSA,HomePricesofSF,TechyfromSF,EconCond,NASDAQ
2/1/1990,3.3,73.82260421,26.77028427,2.27,424.5242105
3/1/1990,3.2,74.59500894,26.53619695,2.04,436.0904545
4/1/1990,3.4,75.06539467,26.27687804,1.88,428.993
5/1/1990,3.3,75.02009431,26.07642858,2.04,442.5981818
6/1/1990,3.5,74.58836007,25.88087934,2.09,462.3061905
7/1/1990,4.1,74.0484706,25.71226819,1.56,455.8242857
8/1/1990,3.9,73.75247492,25.69680204,0.97,396.3226087
9/1/1990,3.9,73.48238408,25.8127471,0.99,368.5663158
10/1/1990,3.8,72.90660101,25.82293108,1.07,338.0134783
11/1/1990,3.9,72.37480808,25.57557329,0.52,347.6942857
12/1/1990,3.8,71.86458461,25.22400371,0.43,370.2125
1/1/1991,4.7,71.93549502,24.95116126,0.17,376.6722727
2/1/1991,4.9,71.1263905,24.85093901,-0.66,442.5868421
3/1/1991,4.9,70.60820847,24.86064785,-1.19,469.101
4/1/1991,4.7,69.90926822,24.94940076,-0.99,496.3190909
5/1/1991,5,70.01055909,25.09839053,-0.89,490.9336364
6/1/1991,5.3,70.28133787,25.23866423,-0.39,490.375
7/1/1991,5.5,70.65760731,25.37588481,0.01,489.3686364
8/1/1991,5.3,70.82774916,25.56164891,0.14,513.2509091
9/1/1991,5.3,70.82243417,25.77235908,0.06,520.5595
10/1/1991,5,70.71237053,25.94997711,0.18,528.923913
11/1/1991,4.9,70.53437961,26.10755848,-0.68,536.5835
12/1/1991,4.8,70.45028932,26.35390569,-1.57,544.1009524
1/1/1992,5.9,70.3952019,26.75072221,-2.11,615.7340909
2/1/1992,6,70.33955339,27.24359583,-1.63,632.0484211
3/1/1992,5.9,70.19474062,27.83380107,-0.38,619.5990909
4/1/1992,5.9,69.68574245,28.47442414,-0.39,582.7904762
5/1/1992,6.1,69.72902808,29.07272785,-0.58,581.473
6/1/1992,6.6,69.48889699,29.56108201,-0.52,566.6586364
7/1/1992,6.8,69.27229693,29.88175291,-0.2,568.7168182
8/1/1992,6.7,68.96255768,30.06185648,-0.37,568.9971429
9/1/1992,6.6,68.8054814,30.27250967,-0.23,580.6809524
10/1/1992,6.1,68.82778854,30.5523134,0.16,585.0118182
11/1/1992,6.2,68.74531672,30.81562714,0.25,630.8635
12/1/1992,5.9,68.58394083,30.98396594,1.14,661.2804545
1/1/1993,6.5,68.45096379,31.09833675,2.82,691.1345
2/1/1993,6.5,68.29010068,31.22664536,2.2,681.7178947
3/1/1993,6.3,68.06550564,31.3724323,1.86,684.4908696
4/1/1993,6.2,67.99124083,31.56786226,1.87,665.3295238
5/1/1993,6.2,67.76187035,31.8671368,1.58,686.451
6/1/1993,6.6,67.4732631,32.22887205,1.04,695.3827273
7/1/1993,6.9,66.93130638,32.56270212,0.79,703.3952381
8/1/1993,6.6,66.95106689,32.92035761,1.04,725.1486364
9/1/1993,6.4,66.83162536,33.37481576,1.33,745.9433333
10/1/1993,6.2,66.77202383,33.91135749,1.38,771.3071429
11/1/1993,5.9,66.72437038,34.44828272,1.6,764.0385714
12/1/1993,5.5,66.63097848,34.91010071,1.86,762.9440909
1/1/1994,6.4,66.63480933,35.34158966,1.33,787.7685714
2/1/1994,6.2,66.64856075,35.89353133,1.96,787.8094737
3/1/1994,6,67.3218608,36.7067871,2.91,785.9252174
4/1/1994,5.9,67.41857715,37.63811703,3.07,732.2952632
5/1/1994,5.6,67.53725164,38.39402539,2.52,727.7642857
6/1/1994,6,67.6127276,38.93957839,2.2,723.2095455
7/1/1994,6.4,67.64045047,39.46881529,2.41,713.49
8/1/1994,6.2,67.6821357,40.14619946,2.95,738.8678261
9/1/1994,5.9,67.54309042,41.05864127,3.33,763.9380952
10/1/1994,5.5,67.79342539,42.20792666,3.42,762.457619
11/1/1994,5.1,68.05065825,43.39383605,3.95,760.4190476
12/1/1994,4.6,68.31163646,44.34397089,4.42,734.9914286
1/1/1995,5.5,68.41540708,45.07887337,4.29,758.012381
2/1/1995,5.3,68.32134225,45.95504335,4.56,784.2436842
3/1/1995,5.3,67.72523947,47.21625106,3.28,807.1621739
4/1/1995,5.6,67.40639172,48.62772183,2.7,825.3384211
5/1/1995,5.4,67.10597991,49.7624026,3.63,859.7590909
6/1/1995,5.7,66.92125416,50.39354249,4.22,906.0354545
7/1/1995,6.1,66.96452095,50.89634808,4.52,979.3635
8/1/1995,5.8,67.01859362,51.89251916,4.95,1009.586087
9/1/1995,5.6,67.10789583,53.25501759,4.62,1051
10/1/1995,5.2,66.9713468,54.40476813,3.91,1022.137273
11/1/1995,4.9,66.90643758,55.05788832,4.68,1046.636667
12/1/1995,4.4,66.8497208,55.42465932,5.12,1047.035
1/1/1996,5.3,66.8777163,55.84025319,5.37,1024.945455
2/1/1996,4.9,66.90402814,56.52831148,5.13,1094.0165
3/1/1996,4.8,66.80768709,57.2495313,4.76,1092.647143
4/1/1996,4.7,66.69168718,57.79283192,4.65,1135.628095
5/1/1996,4.7,66.78422556,58.24869194,5.11,1220.540455
6/1/1996,4.6,67.01561405,58.74993033,5.49,1205.0755
7/1/1996,5.1,67.21614033,59.38286652,4.8,1105.612727
8/1/1996,4.6,67.54470169,60.18469754,4.65,1134.245909
9/1/1996,4.5,67.79587901,61.13955221,4.29,1186.442
10/1/1996,4.2,68.26022791,62.10774472,4.67,1234.042174
11/1/1996,4,68.93506288,62.84982944,4.92,1259.831
12/1/1996,3.7,69.20716994,63.45518805,4.91,1292.150952
1/1/1997,4.3,69.63862428,64.39747601,5.89,1345.42
2/1/1997,4.1,69.83533758,65.997837,6.02,1349.17
3/1/1997,4,70.63641292,67.78451076,5.61,1282.8555
4/1/1997,3.8,71.26260388,69.27600674,5.37,1225.003636
5/1/1997,3.8,71.79153717,70.60167992,4.43,1352.559048
6/1/1997,4.2,72.31046204,72.07753301,3.76,1422.452857
7/1/1997,4.3,72.80428273,73.67994271,3.67,1531.141364
8/1/1997,4.2,73.57360833,74.99206587,3.69,1596.741905
9/1/1997,4.1,74.11510254,75.53726867,4.29,1660.149048
10/1/1997,3.6,75.03776779,75.45872098,4.17,1682.274783
11/1/1997,3.4,75.67542984,75.42742086,4.13,1600.974737
12/1/1997,3.1,76.49970283,75.8679584,4.64,1566.996818
1/1/1998,3.8,77.20217681,76.62401763,3.87,1570.2345
2/1/1998,3.6,77.67771814,77.28358445,3.49,1714.872105
3/1/1998,3.7,78.30659265,77.56026545,4.19,1781.269545
4/1/1998,3.3,79.12785911,77.58411812,5.24,1852.3
5/1/1998,3.3,80.21510062,77.55995498,4.63,1836.3925
6/1/1998,3.7,81.39191001,77.75444328,4.45,1795.744545
7/1/1998,3.9,82.38230048,78.22506803,4.15,1941.576818
8/1/1998,3.8,83.51693685,79.06468513,3.75,1784.750476
9/1/1998,3.7,84.43969126,80.27146425,3.65,1663.427143
10/1/1998,3.5,84.96501064,81.57420926,3.92,1615.694545
11/1/1998,3.2,85.16421019,82.8291367,3.76,1888.721
12/1/1998,2.8,85.39775486,84.13790228,3.54,2071.032727
1/1/1999,3.3,86.22789294,85.61950215,3.49,2357.8
2/1/1999,3.2,87.21906566,87.24229282,3.17,2356.988421
3/1/1999,3.1,88.29171281,88.93843578,3.73,2391.14
4/1/1999,2.9,89.08617055,90.80458159,3.94,2537.886667
5/1/1999,2.7,89.97017146,92.77458764,3.94,2512.595
6/1/1999,3.1,91.27607882,94.63951749,3.56,2520.958636
7/1/1999,3.3,92.89292829,95.81513029,3.66,2741.26381
8/1/1999,3.1,94.27522606,95.83912473,3.64,2642.449091
9/1/1999,2.9,95.59622752,95.33081337,3.71,2807.946667
10/1/1999,2.8,96.76429591,95.18417367,3.7,2815.276667
11/1/1999,2.6,98.50882779,95.85674594,3.5,3230.548571
12/1/1999,2.3,100.0291526,97.47095888,3.54,3739.878636
1/1/2000,3.6,101.4499522,100,3.02,4013.494
2/1/2000,3.5,104.1706025,103.0552151,3.56,4410.871
3/1/2000,3.6,107.3372204,106.3010496,3.94,4802.988261
4/1/2000,3.2,110.6330009,109.3529961,4.34,3863.637368
5/1/2000,3.3,113.8005125,111.8129842,4.22,3528.416818
6/1/2000,3.7,116.8151058,113.5725215,4.78,3865.476818
7/1/2000,3.8,117.8649973,114.9415773,4.78,4017.685
8/1/2000,3.6,119.0478374,116.075891,4.71,3909.596957
9/1/2000,3.3,120.4148559,117.0940907,4.71,3875.822
10/1/2000,3.2,123.2500155,117.632678,4.13,3333.824545
11/1/2000,3.1,126.4431119,117.6029828,3.89,3055.415238
12/1/2000,2.8,130.0612328,116.6436105,2.95,2657.8075
1/1/2001,3.6,133.0402406,114.0539955,1.68,2656.864286
2/1/2001,3.4,135.0752571,109.8236356,0.24,2449.569474
3/1/2001,3.7,134.9369716,104.4919081,-1.49,1986.663182
4/1/2001,3.7,133.8558118,98.93057823,-4,1933.928
5/1/2001,3.7,132.6620076,94.08307016,-4.56,2181.128636
6/1/2001,4.5,130.8338012,89.92946415,-5.04,2112.052857
7/1/2001,4.7,129.2811002,86.18399046,-5.72,2033.978571
8/1/2001,5,128.3306132,83.19539171,-5.89,1929.712609
9/1/2001,4.9,128.184199,81.19136472,-6.18,1573.31
10/1/2001,5.4,128.2106506,79.85093041,-6.29,1656.428261
11/1/2001,5.5,127.6748965,78.64620983,-5.34,1870.062381
12/1/2001,5.2,126.8430877,77.36014873,-4.2,1977.7105
1/1/2002,6.2,126.8420624,75.98844152,-3.39,1976.768571
2/1/2002,6,127.6140897,74.9132155,-1.84,1799.718947
3/1/2002,6.2,129.5599435,73.98639961,-0.83,1863.0455
4/1/2002,6,132.1104242,72.88489752,-0.32,1758.802273
5/1/2002,5.8,134.7483653,71.61431382,0.18,1660.310909
6/1/2002,6.4,137.5691748,70.40483525,0.1,1505.4875
7/1/2002,6.5,139.3733075,69.35288791,0.01,1346.085455
8/1/2002,6.4,141.1078747,68.32865599,0.16,1327.360455
9/1/2002,6.2,141.8508072,67.19180321,-0.11,1251.069
10/1/2002,6.2,142.818283,66.03070184,-0.06,1241.911739
11/1/2002,6.3,143.6332258,65.06250754,-0.41,1409.1515
12/1/2002,6.1,143.8192939,64.44201458,-1.06,1387.151905
1/1/2003,6.6,143.7339343,64.39578008,-0.96,1389.559524
2/1/2003,6.4,143.8503235,64.7677222,-1.1,1313.261579
3/1/2003,6.5,143.956377,65.19343836,-1.37,1348.50381
4/1/2003,6.3,144.2988151,65.68445867,-1.32,1409.830952
5/1/2003,6.1,144.3748384,66.4126792,-0.94,1524.182857
6/1/2003,6.9,144.8402807,67.38222988,-0.47,1631.750952
7/1/2003,6.7,146.174745,68.45052355,0.53,1716.851364
8/1/2003,6.5,147.7955754,69.60167004,1.38,1724.822857
9/1/2003,6.2,149.6369295,70.87556341,1.85,1856.224762
10/1/2003,6.1,151.5500788,72.02590079,2.34,1907.891304
11/1/2003,6,153.7302731,72.65665611,2.46,1939.253158
12/1/2003,5.5,155.987285,72.73191928,2.44,1956.984545
1/1/2004,6.2,157.843168,72.56973187,2.28,2098.004
