,,UnemplRate,FedUndRate,Government10Yr,MinWage,CPI,DisposableINcome,INDPRO,CapUtil,PCE,ProducerPriceIndex,SupplyofHouses,DispIncomePerCapita,PSAVERT,MORTGAGE30US,Monetarybase,MedianHouseSales,INVCMRMTSPL,Permits,BankLoanRates,AAA,Baa,FedNatActIndex,TotalReserveBalance,TotalReserDeposit,BorrowingsFR,NASDAQCOM,natFinCondIndex,RecessionIdic,TotalMilesTraveled,use
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnemplRate,,1,0.046901991,0.263707465,-0.031011504,-0.152194846,-0.191281236,-0.318757891,-0.535803599,-0.170706356,0.153254455,0.230831647,-0.215058816,0.396000185,0.282290305,-0.027399876,-0.231972999,-0.268782413,-0.498318999,0.053721618,0.307805224,0.376104387,-0.115960938,0.053044863,0.04821438,0.242442721,-0.320828713,0.209673137,0.138095451,-0.256760176,complete.obs
FedUndRate,,0.046901991,1,0.911401097,-0.719060433,-0.723327804,-0.76198527,-0.705979873,0.447279614,-0.759830165,0.197021414,0.336343931,-0.753296833,0.584916448,0.913417896,-0.667342525,-0.724562845,-0.719526607,0.134146965,0.973282059,0.889773034,0.865514205,-0.002459625,-0.57310925,-0.57830671,-0.234958063,-0.648518903,0.650614948,0.240242785,-0.711993995,complete.obs
Government10Yr,,0.263707465,0.911401097,1,-0.746101806,-0.756126724,-0.820737853,-0.789030625,0.304028676,-0.821294572,0.211721947,0.258351683,-0.808296764,0.631384368,0.988207885,-0.721164842,-0.786827117,-0.790435644,0.12753797,0.895705489,0.99143702,0.972355274,0.058707684,-0.616608173,-0.621859923,-0.205450839,-0.747911374,0.502930946,0.190716672,-0.753890638,complete.obs
MinWage,,-0.031011504,-0.719060433,-0.746101806,1,0.977030586,0.967096357,0.925797258,-0.548245126,0.967657694,0.027551275,-0.174455039,0.9601587,-0.773478439,-0.697476861,0.843255789,0.946546003,0.955111351,-0.416995141,-0.598628634,-0.714012891,-0.680470843,-0.207040439,0.729354415,0.736870635,0.255930183,0.858575536,-0.38779758,-0.105318047,0.907863525,complete.obs
CPI,,-0.152194846,-0.723327804,-0.756126724,0.977030586,1,0.985023908,0.965511515,-0.490846994,0.977272965,0.03774703,-0.201751338,0.98844102,-0.855648716,-0.709972626,0.787223426,0.97522217,0.984592237,-0.312558248,-0.598424818,-0.729433849,-0.704471588,-0.19702381,0.648856415,0.657804125,0.219277519,0.851626873,-0.457434896,-0.117069811,0.952508463,complete.obs
DisposableINcome,,-0.191281236,-0.76198527,-0.820737853,0.967096357,0.985023908,1,0.973533458,-0.491806258,0.996028488,0.048495719,-0.194480665,0.997152594,-0.82769955,-0.777214899,0.826213599,0.987642932,0.992245113,-0.270739598,-0.657481152,-0.799851974,-0.770278811,-0.182007782,0.690066154,0.698007781,0.228004572,0.890732078,-0.438384961,-0.118118113,0.943217908,complete.obs
INDPRO,,-0.318757891,-0.705979873,-0.789030625,0.925797258,0.965511515,0.973533458,1,-0.378469639,0.956102274,-0.043516186,-0.253942047,0.981671854,-0.892404191,-0.746867727,0.715602844,0.956765034,0.983696307,-0.157913637,-0.590270703,-0.771882783,-0.757682521,-0.15572163,0.557632382,0.566741895,0.16338074,0.85561077,-0.455509319,-0.1311912,0.955347757,complete.obs
CapUtil,,-0.535803599,0.447279614,0.304028676,-0.548245126,-0.490846994,-0.491806258,-0.378469639,1,-0.497898747,-0.235748161,0.027703933,-0.475281367,0.270747897,0.237325438,-0.452203422,-0.457265343,-0.450743206,0.398878923,0.363856827,0.227679317,0.128145645,0.362770155,-0.399257149,-0.400944592,-0.420057428,-0.374329582,0.073745681,-0.167481124,-0.414451525,complete.obs
PCE,,-0.170706356,-0.759830165,-0.821294572,0.967657694,0.977272965,0.996028488,0.956102274,-0.497898747,1,0.074046785,-0.175898465,0.987233307,-0.800529927,-0.778175475,0.865077704,0.989395798,0.985427927,-0.297105633,-0.660237735,-0.802564549,-0.771363655,-0.176563074,0.740051903,0.747379723,0.219290277,0.909998635,-0.421790273,-0.115164981,0.923443365,complete.obs
ProducerPriceIndex,,0.153254455,0.197021414,0.211721947,0.027551275,0.03774703,0.048495719,-0.043516186,-0.235748161,0.074046785,1,0.284899479,0.042568913,0.034400905,0.251331619,0.167236572,0.12120322,0.038740556,-0.06223983,0.183932743,0.20829975,0.251060411,-0.11418051,0.203501552,0.200717471,0.022406514,0.058634854,0.174681925,0.098215866,-0.047220542,complete.obs
SupplyofHouses,,0.230831647,0.336343931,0.258351683,-0.174455039,-0.201751338,-0.194480665,-0.253942047,0.027703933,-0.175898465,0.284899479,1,-0.206040714,0.310025458,0.285651981,-0.136923334,-0.195574595,-0.214749512,-0.44712692,0.323679696,0.262364375,0.312243267,-0.410084705,-0.095200534,-0.098559365,0.406936601,-0.258741286,0.571066599,0.495481137,-0.293477435,complete.obs
DispIncomePerCapita,,-0.215058816,-0.753296833,-0.808296764,0.9601587,0.98844102,0.997152594,0.981671854,-0.475281367,0.987233307,0.042568913,-0.206040714,1,-0.853090414,-0.764946457,0.788575739,0.983741136,0.993469626,-0.246633095,-0.644426353,-0.786637772,-0.760186971,-0.182676748,0.643948499,0.652478939,0.225615748,0.870660249,-0.457314044,-0.123963764,0.955517994,complete.obs
PSAVERT,,0.396000185,0.584916448,0.631384368,-0.773478439,-0.855648716,-0.82769955,-0.892404191,0.270747897,-0.800529927,0.034400905,0.310025458,-0.853090414,1,0.597642781,-0.480926045,-0.831002591,-0.864677066,-0.016512419,0.46399443,0.620336801,0.628911019,0.071171023,-0.307821358,-0.318445027,-0.099126519,-0.696369243,0.539861869,0.201454144,-0.88276057,complete.obs
MORTGAGE30US,,0.282290305,0.913417896,0.988207885,-0.697476861,-0.709972626,-0.777214899,-0.746867727,0.237325438,-0.778175475,0.251331619,0.285651981,-0.764946457,0.597642781,1,-0.688981192,-0.744933762,-0.74427761,0.09102073,0.912970451,0.99119337,0.983372656,-0.016110466,-0.590805416,-0.59576837,-0.173957606,-0.71115989,0.550837705,0.24893778,-0.715769625,complete.obs
Monetarybase,,-0.027399876,-0.667342525,-0.721164842,0.843255789,0.787223426,0.826213599,0.715602844,-0.452203422,0.865077704,0.167236572,-0.136923334,0.788575739,-0.480926045,-0.688981192,1,0.841038081,0.797994885,-0.396880433,-0.617848629,-0.708685149,-0.675176267,-0.096598671,0.976895997,0.979133845,0.119063059,0.886625486,-0.304347011,-0.139484775,0.676789422,complete.obs
MedianHouseSales,,-0.231972999,-0.724562845,-0.786827117,0.946546003,0.97522217,0.987642932,0.956765034,-0.457265343,0.989395798,0.12120322,-0.195574595,0.983741136,-0.831002591,-0.744933762,0.841038081,1,0.987451005,-0.243738539,-0.619283961,-0.774067056,-0.749628381,-0.160425825,0.7115891,0.719419467,0.17078018,0.90540756,-0.45057831,-0.136355843,0.926632337,complete.obs
INVCMRMTSPL,,-0.268782413,-0.719526607,-0.790435644,0.955111351,0.984592237,0.992245113,0.983696307,-0.450743206,0.985427927,0.038740556,-0.214749512,0.993469626,-0.864677066,-0.74427761,0.797994885,0.987451005,1,-0.236238264,-0.603111719,-0.770280186,-0.746591537,-0.197238976,0.655262181,0.663834836,0.196664772,0.89896827,-0.442720458,-0.106989923,0.951138083,complete.obs
Permits,,-0.498318999,0.134146965,0.12753797,-0.416995141,-0.312558248,-0.270739598,-0.157913637,0.398878923,-0.297105633,-0.06223983,-0.44712692,-0.246633095,-0.016512419,0.09102073,-0.396880433,-0.243738539,-0.236238264,1,0.055883913,0.086200402,0.02805615,0.491040428,-0.426255568,-0.426317761,-0.361762379,-0.193500306,-0.216896097,-0.363006079,-0.194899522,complete.obs
BankLoanRates,,0.053721618,0.973282059,0.895705489,-0.598628634,-0.598424818,-0.657481152,-0.590270703,0.363856827,-0.660237735,0.183932743,0.323679696,-0.644426353,0.46399443,0.912970451,-0.617848629,-0.619283961,-0.603111719,0.055883913,1,0.882453495,0.863181897,-0.089883264,-0.547499888,-0.550889602,-0.219594343,-0.568738509,0.622103805,0.272063361,-0.594121246,complete.obs
AAA,,0.307805224,0.889773034,0.99143702,-0.714012891,-0.729433849,-0.799851974,-0.771882783,0.227679317,-0.802564549,0.20829975,0.262364375,-0.786637772,0.620336801,0.99119337,-0.708685149,-0.774067056,-0.770280186,0.086200402,0.882453495,1,0.989648884,0.004949604,-0.606620422,-0.611662498,-0.160347571,-0.740006554,0.520714145,0.237163396,-0.733494356,complete.obs
Baa,,0.376104387,0.865514205,0.972355274,-0.680470843,-0.704471588,-0.770278811,-0.757682521,0.128145645,-0.771363655,0.251060411,0.312243267,-0.760186971,0.628911019,0.983372656,-0.675176267,-0.749628381,-0.746591537,0.02805615,0.863181897,0.989648884,1,-0.066189833,-0.573975991,-0.579291112,-0.07133514,-0.727026422,0.566778083,0.29227776,-0.720375073,complete.obs
FedNatActIndex,,-0.115960938,-0.002459625,0.058707684,-0.207040439,-0.19702381,-0.182007782,-0.15572163,0.362770155,-0.176563074,-0.11418051,-0.410084705,-0.182676748,0.071171023,-0.016110466,-0.096598671,-0.160425825,-0.197238976,0.491040428,-0.089883264,0.004949604,-0.066189833,1,-0.062098367,-0.063598056,-0.418875421,-0.074108035,-0.370446985,-0.651973224,-0.165277001,complete.obs
TotalReserveBalance,,0.053044863,-0.57310925,-0.616608173,0.729354415,0.648856415,0.690066154,0.557632382,-0.399257149,0.740051903,0.203501552,-0.095200534,0.643948499,-0.307821358,-0.590805416,0.976895997,0.7115891,0.655262181,-0.426255568,-0.547499888,-0.606620422,-0.573975991,-0.062098367,1,0.999918716,0.076933325,0.79748381,-0.227603437,-0.1352286,0.520429439,complete.obs
TotalReserDeposit,,0.04821438,-0.57830671,-0.621859923,0.736870635,0.657804125,0.698007781,0.566741895,-0.400944592,0.747379723,0.200717471,-0.098559365,0.652478939,-0.318445027,-0.59576837,0.979133845,0.719419467,0.663834836,-0.426317761,-0.550889602,-0.611662498,-0.579291112,-0.063598056,0.999918716,1,0.078006547,0.803012927,-0.233942452,-0.136776615,0.529880604,complete.obs
BorrowingsFR,,0.242442721,-0.234958063,-0.205450839,0.255930183,0.219277519,0.228004572,0.16338074,-0.420057428,0.219290277,0.022406514,0.406936601,0.225615748,-0.099126519,-0.173957606,0.119063059,0.17078018,0.196664772,-0.361762379,-0.219594343,-0.160347571,-0.07133514,-0.418875421,0.076933325,0.078006547,1,0.045384682,0.240008589,0.350048586,0.194217093,complete.obs
NASDAQCOM,,-0.320828713,-0.648518903,-0.747911374,0.858575536,0.851626873,0.890732078,0.85561077,-0.374329582,0.909998635,0.058634854,-0.258741286,0.870660249,-0.696369243,-0.71115989,0.886625486,0.90540756,0.89896827,-0.193500306,-0.568738509,-0.740006554,-0.727026422,-0.074108035,0.79748381,0.803012927,0.045384682,1,-0.395989951,-0.163870142,0.795602868,complete.obs
natFinCondIndex,,0.209673137,0.650614948,0.502930946,-0.38779758,-0.457434896,-0.438384961,-0.455509319,0.073745681,-0.421790273,0.174681925,0.571066599,-0.457314044,0.539861869,0.550837705,-0.304347011,-0.45057831,-0.442720458,-0.216896097,0.622103805,0.520714145,0.566778083,-0.370446985,-0.227603437,-0.233942452,0.240008589,-0.395989951,1,0.583376052,-0.485220174,complete.obs
RecessionIdic,,0.138095451,0.240242785,0.190716672,-0.105318047,-0.117069811,-0.118118113,-0.1311912,-0.167481124,-0.115164981,0.098215866,0.495481137,-0.123963764,0.201454144,0.24893778,-0.139484775,-0.136355843,-0.106989923,-0.363006079,0.272063361,0.237163396,0.29227776,-0.651973224,-0.1352286,-0.136776615,0.350048586,-0.163870142,0.583376052,1,-0.141645427,complete.obs
TotalMilesTraveled,,-0.256760176,-0.711993995,-0.753890638,0.907863525,0.952508463,0.943217908,0.955347757,-0.414451525,0.923443365,-0.047220542,-0.293477435,0.955517994,-0.88276057,-0.715769625,0.676789422,0.926632337,0.951138083,-0.194899522,-0.594121246,-0.733494356,-0.720375073,-0.165277001,0.520429439,0.529880604,0.194217093,0.795602868,-0.485220174,-0.141645427,1,complete.obs
